@relation R_data_frame

@attribute avail.datasets {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute simple.classes numeric
@attribute simple.attributes numeric
@attribute simple.numeric numeric
@attribute simple.nominal numeric
@attribute simple.samples numeric
@attribute simple.dimensionality numeric
@attribute simple.numeric_rate numeric
@attribute simple.nominal_rate numeric
@attribute simple.symbols_min numeric
@attribute simple.symbols_max numeric
@attribute simple.symbols_mean numeric
@attribute simple.symbols_sd numeric
@attribute simple.symbols_sum numeric
@attribute simple.class_prob_min numeric
@attribute simple.class_prob_max numeric
@attribute simple.class_prob_mean numeric
@attribute simple.class_prob_sd numeric
@attribute statistical.skewness numeric
@attribute statistical.skewness_prep numeric
@attribute statistical.kurtosis numeric
@attribute statistical.kurtosis_prep numeric
@attribute statistical.abs_cor numeric
@attribute statistical.cancor_1 numeric
@attribute statistical.fract_1 numeric
@attribute inftheo.class_entropy numeric
@attribute inftheo.normalized_class_entropy numeric
@attribute inftheo.attribute_entropy numeric
@attribute inftheo.normalized_attribute_entropy numeric
@attribute inftheo.joint_entropy numeric
@attribute inftheo.mutual_information numeric
@attribute inftheo.equivalent_attributes numeric
@attribute inftheo.noise_signal_ratio numeric
@attribute modelbased.nodes numeric
@attribute modelbased.leaves.nodes_per_attribute numeric
@attribute modelbased.nodes_per_instance numeric
@attribute modelbased.leaf_corrobation numeric
@attribute modelbased.level_min numeric
@attribute modelbased.level_max numeric
@attribute modelbased.level_mean numeric
@attribute modelbased.level_sd numeric
@attribute modelbased.branch_min numeric
@attribute modelbased.branch_max numeric
@attribute modelbased.branch_mean numeric
@attribute modelbased.branch_sd numeric
@attribute modelbased.attribute_min numeric
@attribute modelbased.attribute_max numeric
@attribute modelbased.attribute_mean numeric
@attribute modelbased.attribute_sd numeric
@attribute modelbased.NA numeric
@attribute landmarking.naive_bayes numeric
@attribute landmarking.stump_min numeric
@attribute landmarking.stump_max numeric
@attribute landmarking.stump_mean numeric
@attribute landmarking.stump_sd numeric
@attribute landmarking.stump_min_gain numeric
@attribute landmarking.stump_random numeric
@attribute landmarking.nn_1 numeric
@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute edges numeric
@attribute degree numeric
@attribute density numeric
@attribute maxComp numeric
@attribute closeness numeric
@attribute betweenness numeric
@attribute clsCoef numeric
@attribute hubs numeric
@attribute avgPath numeric
@attribute Class {Defaults,Tuning}

@data
1037_ada_prior,2,14,6,8,4562,0.003069,0.428571,0.571429,2,39,10.888889,11.580635,98,0.248137,0.751863,0.5,0.356188,3.304282,13.855256,57.613233,390.196049,0.184244,0.609164,1,0.560279,0.808312,1.300331,0.498574,1.2347,0.04622,12.122069,27.133671,7,8,0.5,0.001534,0.125,2,4,3.5,1,3,5,4.25,0.886405,0,3,0.5,0.85485,0.821131,0.751863,0.792416,0.75584,0.011272,0.751863,0.751863,0.767646,0.365,3.302,0.267,0.026,0.04,0.781,0.196,0.389,0.326,0.603,0.231,0.271,0.996,325.857,1137615,498.735204,0.109348,3430,0,4534.469531,0.202783,0.786903,4.324817,Tuning
1043_ada_agnostic,2,47,47,0,4562,0.010302,1,0,2,2,2,0,2,0.248137,0.751863,0.5,0.356188,6.494871,6.494871,158.014522,158.014522,0.054273,0.597873,1,0.560279,0.808312,0.417184,0.09887,0.560279,0.014956,37.462413,26.894542,5,6,0.106383,0.001096,0.166667,2,4,2.5,1,3,5,3.833333,0.983192,0,2,0.106383,0.374981,0.680842,0.751863,0.792416,0.753108,0.00627,0.751863,0.751863,0.770715,0.693,2.976,0,0.026,0.046,0.988,0.178,0.248,0.328,0.485,0.229,0.25,0.998,97.064,1507931,661.083297,0.144943,3430,0,1320.599079,0.280013,0.595926,1.941041,Tuning
1048_jEdit_4.2_4.3,2,8,8,0,369,0.02168,1,0,2,2,2,0,2,0.447154,0.552846,0.5,0.074735,3.699077,3.699077,29.002704,29.002704,0.29935,0.340004,1,0.687551,0.991927,0.694714,0.235941,0.687551,0.019753,34.808049,34.170662,6,7,0.75,0.01626,0.142857,2,4,2.4,0.894427,2,6,4.428571,1.397276,0,3,0.75,1.164965,0.539295,0.566396,0.631436,0.60332,0.021822,0.566396,0.604336,0.688347,0.156,0.566,0.004,0.049,0.079,0.876,0.447,0.5,0.542,0.777,0.312,0.411,0.995,46.125,7005,37.96748,0.103172,204,0.000015,213.124661,0.189859,0.759316,2.967594,Defaults
1049_pc4,2,37,37,0,1458,0.025377,1,0,2,2,2,0,2,0.122085,0.877915,0.5,0.534452,4.278449,4.278449,46.50384,46.50384,0.3649,0.568092,1,0.371059,0.535325,0.675501,0.1857,0.371059,0.014632,25.3587,45.164711,21,22,0.567568,0.014403,0.045455,2,6,3.5,1.732051,2,13,8.318182,3.137885,0,3,0.567568,0.834684,0.879287,0.877915,0.877915,0.877915,0,0.877915,0.877915,0.874486,0.592,5.899,0,0.123,0.349,0.265,0.122,0.5,0.197,0.446,0.126,0.287,0.998,39.405,157182,215.613169,0.147984,1280,0.000003,1728.109053,0.24485,0.779664,4.031724,Tuning
1050_pc3,2,37,37,0,1563,0.023672,1,0,2,2,2,0,2,0.102367,0.897633,0.5,0.562338,6.428958,6.428958,124.244943,124.244943,0.419897,0.444716,1,0.330253,0.476455,0.566095,0.15346,0.330253,0.009452,34.941598,58.894161,21,22,0.567568,0.013436,0.045455,2,6,3.818182,1.88776,3,12,7.181818,2.575274,0,4,0.567568,0.834684,0.458093,0.897633,0.897633,0.897633,0,0.897633,0.897633,0.873321,0.505,0.417,0,0.065,0.137,0.205,0.102,0.5,0.193,0.489,0.128,0.363,1,42.243,186830,239.065899,0.153051,1403,0.000004,1932.414587,0.259441,0.777148,4.042278,Tuning
1054_mc2,2,39,39,0,161,0.242236,1,0,2,2,2,0,2,0.322981,0.677019,0.5,0.250342,2.327212,2.327212,11.197692,11.197692,0.507705,0.635978,1,0.629096,0.907594,0.720494,0.2809,0.629096,0.03882,16.205318,17.559686,7,8,0.179487,0.043478,0.125,2,2,2,0,2,8,5.375,2.263846,0,1,0.179487,0.388776,0.73913,0.677019,0.757764,0.711897,0.029015,0.677019,0.708075,0.695652,0.295,6.46,0.000001,0.161,0.988,0.609,0.292,0.478,0.509,0.772,0.311,0.273,1,4.128,1473,18.298137,0.114363,109,0.000095,132.509317,0.184703,0.779501,3.876147,Tuning
1056_mc1,2,38,38,0,9466,0.004014,1,0,2,2,2,0,2,0.007184,0.992816,0.5,0.696948,11.008148,11.008148,445.882156,445.882156,0.452292,0.358243,1,0.042616,0.061481,0.425107,0.092925,0.042616,0.004162,10.238068,101.128397,8,9,0.210526,0.000845,0.111111,2,4,2.285714,0.755929,2,8,5.333333,2.061553,0,2,0.210526,0.474079,0.938306,0.992816,0.992816,0.992816,0,0.992816,0.992816,0.99419,1.738,10.56,0,0.535,0.631,0.015,0.007,0.5,0.014,0.021,0.008,0.378,0.999,249.105,9145460,1932.275512,0.20415,9398,0.000001,8704.553349,0.412297,0.750416,2.865985,Tuning
1061_ar4,2,29,29,0,107,0.271028,1,0,2,2,2,0,2,0.186916,0.813084,0.5,0.442768,2.632114,2.632114,14.16589,14.16589,0.542723,0.716624,1,0.48172,0.694975,0.508659,0.220908,0.48172,0.069946,6.887068,6.272207,1,2,0.034483,0.009346,0.5,2,2,2,0,2,2,2,0,0,1,0.034483,0.185695,0.859813,0.813084,0.878505,0.851112,0.027918,0.813084,0.813084,0.766355,0.974,7.332,0,0.439,0.981,0.409,0.178,0.5,0.336,0.731,0.234,0.257,0.991,3.69,800,14.953271,0.141069,87,0.000346,105.056075,0.231281,0.771435,3.977279,Defaults
1063_kc2,2,21,21,0,522,0.04023,1,0,2,2,2,0,2,0.204981,0.795019,0.5,0.41722,4.42648,4.42648,32.985683,32.985683,0.742975,0.598582,1,0.50723,0.731779,0.304279,0.097043,0.50723,0.041356,12.265086,6.357616,7,8,0.333333,0.01341,0.125,2,4,2.8,1.095445,2,6,4.625,1.30247,0,2,0.333333,0.658281,0.837165,0.795019,0.854406,0.82859,0.018381,0.795019,0.795019,0.808429,0.85,6.758,0,0.042,0.151,0.42,0.197,0.492,0.289,0.75,0.192,0.241,1,24.857,21570,82.643678,0.158625,415,0.000015,397.047893,0.269719,0.767708,3.334102,Defaults
1064_ar6,2,29,29,0,101,0.287129,1,0,2,2,2,0,2,0.148515,0.851485,0.5,0.497075,1.583703,1.583703,5.716994,5.716994,0.50794,0.693683,1,0.420124,0.606111,0.649516,0.282081,0.420124,0.028968,14.503265,21.422194,1,2,0.034483,0.009901,0.5,2,2,2,0,2,2,2,0,0,1,0.034483,0.185695,0.871287,0.851485,0.881188,0.854216,0.007893,0.851485,0.851485,0.841584,0.53,20.095,0,0.218,0.99,0.29,0.149,0.5,0.267,0.589,0.158,0.252,0.921,3.483,753,14.910891,0.149109,86,0.00048,100.247525,0.23928,0.748891,3.763064,Tuning
