@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,59_ionosphere,61_iris,8_liver-disorders}
@attribute edges numeric
@attribute degree numeric
@attribute density numeric
@attribute maxComp numeric
@attribute closeness numeric
@attribute betweenness numeric
@attribute clsCoef numeric
@attribute hubs numeric
@attribute avgPath numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
1455_acute-inflammations,1094,18.233333,0.153221,60,0.000123,35.575,0.243489,0.782241,2.30113,1,1,0.981333,0.9885
458_analcatdata_authorship,56888,135.286564,0.161055,317,0.000002,63.989298,0.206838,0.700033,1.520205,0.931712,0.929688,0.879728,0.911196
448_analcatdata_boxing1,991,16.516667,0.138796,62,0.00012,53.45,0.165493,0.836848,3.256478,0.836845,0.790839,0.802155,0.793625
444_analcatdata_boxing2,1093,16.560606,0.126417,69,0.000102,66.992424,0.17414,0.774024,3.36786,0.805317,0.816825,0.777669,0.816776
461_analcatdata_creditscore,857,17.14,0.173131,72,0.000276,54.4,0.266752,0.777579,3.07903,0.993244,0.992768,0.993244,0.991022
469_analcatdata_dmft,10667,26.76788,0.033628,136,0.000002,108.663739,0.055907,0.729777,2.82451,0.109268,0.15827,0.149719,0.156166
475_analcatdata_germangss,5420,27.1,0.06792,100,0.000008,95.97,0.108659,0.789799,3.058182,0.37975,0.4095,0.437333,0.413083
450_analcatdata_lawsuit,5990,45.378788,0.172543,245,0.000167,159.602273,0.610728,0.644061,2.409267,0.962136,0.895575,0.935186,0.955539
1456_appendicitis,864,16.301887,0.155256,85,0.000355,39.886792,0.37943,0.561833,2.136415,0.700833,0.716134,0.721944,0.707361
1459_artificial-characters,1664132,325.725582,0.031881,1416,0,468.485907,0.057224,0.707328,2.010699,0.582635,0.581676,0.370088,0.567551
1547_autoUniv-au1-1000,56153,112.306,0.112418,741,0.000003,254.402,0.435401,0.337827,1.82636,0.649668,0.656056,0.660657,0.664219
1548_autoUniv-au4-2500,261693,209.3544,0.083775,1173,0,840.562,0.143929,0.683642,2.536241,0.526165,0.543955,0.43764,0.437237
1555_autoUniv-au6-1000,12078,24.156,0.02418,240,0.000001,129.2,0.072702,0.714722,2.78037,0.182266,0.20716,0.193336,0.221208
1549_autoUniv-au6-750,7091,18.909333,0.025246,165,0.000002,102.518667,0.058452,0.717404,2.855211,0.159257,0.202131,0.211101,0.20811
1551_autoUniv-au6-400,2372,11.86,0.029724,111,0.000008,69.2425,0.070345,0.757519,3.379361,0.24494,0.258145,0.249311,0.249615
1552_autoUniv-au7-1100,23938,43.523636,0.039603,305,0.000001,311.476364,0.062733,0.764461,3.712101,0.36604,0.396631,0.356633,0.355155
1553_autoUniv-au7-700,15360,43.885714,0.062784,245,0.000003,288.665714,0.092305,0.755646,3.585045,0.502467,0.514473,0.563122,0.542237
1554_autoUniv-au7-500,5838,23.352,0.046798,192,0.000005,166.7,0.100937,0.739004,3.864911,0.441726,0.431197,0.370677,0.379515
463_backache,2193,24.366667,0.136127,155,0.000178,149.555556,0.277112,0.668608,3.18517,0.519215,0.520403,0.572424,0.576181
11_balance-scale,23303,74.5696,0.119503,288,0.000005,111.7232,0.238548,0.585038,1.819396,0.565078,0.566423,0.567708,0.570535
1460_banana,1587721,599.14,0.113067,2924,0,2258.284151,0.151652,0.764875,2.858089,0.885749,0.887448,0.836821,0.891509
1462_banknote-authentication,143714,209.495627,0.152805,762,0.000001,413.344752,0.213893,0.733529,2.204935,0.984684,0.984735,0.97079,0.984033
1464_blood-transfusion-service-center,32447,86.756684,0.11614,570,0.000006,629.425134,0.161769,0.792492,3.751919,0.636005,0.615612,0.613971,0.626198
15_breast-w,46087,131.865522,0.188919,458,0.000005,146.503577,0.36249,0.650851,1.829838,0.922448,0.918318,0.915972,0.918719
1465_breast-tissue,254,4.792453,0.045642,22,0.000105,7.688679,0.10037,0.52145,1.900433,0.308056,0.299815,0.296574,0.309167
8_liver-disorders,2016,11.686957,0.033974,108,0.00001,33.165217,0.138133,0.584153,2.179301,0.628752,0.634467,0.661137,0.652012
21_car,185235,214.392361,0.124141,1136,0.000001,530.479167,0.259918,0.641878,2.324559,0.817916,0.940237,0.886971,0.940299
1560_cardiotocography-v2,250324,235.488241,0.110818,1655,0.000001,1375.98777,0.190914,0.756429,3.048691,0.976277,0.976146,0.963405,0.974783
210_cloud,4,0.074074,0.000692,2,0.000087,0,0.010821,0,1,0.299097,0.336528,0.285833,0.337292
23_cmc,74879,101.668703,0.069068,629,0.000001,486.961303,0.101969,0.699807,3.010936,0.473805,0.523496,0.515674,0.518221
