@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,59_ionosphere,61_iris,8_liver-disorders}
@attribute naive_bayes numeric
@attribute stump_min numeric
@attribute stump_max numeric
@attribute stump_mean numeric
@attribute stump_sd numeric
@attribute stump_min_gain numeric
@attribute stump_random numeric
@attribute nn_1 numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
1455_acute-inflammations,0.958333,0.583333,0.916667,0.734722,0.142441,0.583333,0.583333,1,1,1,0.981333,0.9885
458_analcatdata_authorship,0.992866,0.384067,0.678954,0.490114,0.070038,0.46849,0.608799,0.996433,0.931712,0.929688,0.879728,0.911196
448_analcatdata_boxing1,0.891667,0.666667,0.833333,0.727778,0.091793,0.683333,0.666667,0.616667,0.836845,0.790839,0.802155,0.793625
444_analcatdata_boxing2,0.848485,0.568182,0.833333,0.661616,0.148904,0.583333,0.568182,0.431818,0.805317,0.816825,0.777669,0.816776
461_analcatdata_creditscore,0.95,0.73,0.99,0.788333,0.101669,0.73,0.76,0.76,0.993244,0.992768,0.993244,0.991022
469_analcatdata_dmft,0.276035,0.194479,0.214555,0.202321,0.009739,0.205772,0.194479,0.340025,0.109268,0.15827,0.149719,0.156166
475_analcatdata_germangss,0.3825,0.25,0.385,0.277,0.060374,0.25,0.25,0.1175,0.37975,0.4095,0.437333,0.413083
450_analcatdata_lawsuit,0.969697,0.92803,0.958333,0.935606,0.015152,0.92803,0.92803,0.958333,0.962136,0.895575,0.935186,0.955539
1456_appendicitis,0.858491,0.801887,0.886792,0.851752,0.034325,0.801887,0.867925,0.801887,0.700833,0.716134,0.721944,0.707361
1459_artificial-characters,0.278675,0.143324,0.190759,0.170371,0.020998,0.143324,0.175479,0.552648,0.582635,0.581676,0.370088,0.567551
1547_autoUniv-au1-1000,0.726,0.741,0.741,0.741,0,0.741,0.741,0.668,0.649668,0.656056,0.660657,0.664219
1548_autoUniv-au4-2500,0.6236,0.4692,0.5596,0.476428,0.013527,0.4692,0.47496,0.4572,0.526165,0.543955,0.43764,0.437237
1555_autoUniv-au6-1000,0.333,0.24,0.286,0.2416,0.007742,0.24,0.243333,0.143,0.182266,0.20716,0.193336,0.221208
1549_autoUniv-au6-750,0.358667,0.22,0.249333,0.224567,0.007602,0.22,0.22,0.164,0.159257,0.202131,0.211101,0.20811
1551_autoUniv-au6-400,0.5,0.2775,0.33,0.286125,0.013264,0.2775,0.2775,0.1525,0.24494,0.258145,0.249311,0.249615
