@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,59_ionosphere,61_iris,8_liver-disorders}
@attribute tree_time numeric
@attribute naive_bayes_time numeric
@attribute stump_time numeric
@attribute nn_time numeric
@attribute simple_time numeric
@attribute statistical_time numeric
@attribute inftheo_time numeric
@attribute total_time numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
1455_acute-inflammations,202.36084,769.07959,2375.386475,2145.030762,231.32666,1601.41333,987.55957,9014.249023,1,1,0.981333,0.9885
458_analcatdata_authorship,81.394775,1673.640137,807.665039,375.450928,17.751953,18957.786865,1407.053955,23558.164551,0.931712,0.929688,0.879728,0.911196
448_analcatdata_boxing1,13.249023,39.255859,43.621826,231.146973,3.531006,58.983887,37.811768,490.486084,0.836845,0.790839,0.802155,0.793625
444_analcatdata_boxing2,8.929932,29.795898,35.713867,209.888916,4.228027,58.208984,40.40625,449.260742,0.805317,0.816825,0.777669,0.816776
461_analcatdata_creditscore,22.355957,141.244141,92.442871,197.171875,6.793945,153.906982,107.860107,832.853027,0.993244,0.992768,0.993244,0.991022
469_analcatdata_dmft,18.747314,215.243164,105.469971,485.674072,3.408936,250.921875,49.992188,1238.51001,0.109268,0.15827,0.149719,0.156166
475_analcatdata_germangss,12.134033,99.869141,50.887207,220.312256,2.87915,-872.520996,54.448975,-377.156738,0.37975,0.4095,0.437333,0.413083
450_analcatdata_lawsuit,6.679932,73.693604,44.279053,205.809814,3.447998,32.25415,46.441162,455.256836,0.962136,0.895575,0.935186,0.955539
1456_appendicitis,184.249023,639.296387,2051.137451,2044.182617,47.120605,1800.685547,1316.230469,8777.88623,0.700833,0.716134,0.721944,0.707361
1459_artificial-characters,365.2691,3697.963053,634.137671,2234.488216,19.139063,2590.850627,3752.038737,13838.000163,0.582635,0.581676,0.370088,0.567551
1547_autoUniv-au1-1000,30.958008,649.46582,190.106201,413.223877,3.748047,996.594727,502.231934,2871.273926,0.649668,0.656056,0.660657,0.664219
1548_autoUniv-au4-2500,1248.333187,11252.028817,3961.257658,4984.04069,14.960588,99230.867114,9131.393416,131585.63536,0.526165,0.543955,0.43764,0.437237
1555_autoUniv-au6-1000,447.844881,2367.637817,818.028434,493.66193,9.152987,21318.193579,1414.938346,27072.134969,0.182266,0.20716,0.193336,0.221208
1549_autoUniv-au6-750,316.767822,2666.161377,1010.970215,778.927002,34.187744,33130.872314,2198.776123,40478.254883,0.159257,0.202131,0.211101,0.20811
1551_autoUniv-au6-400,171.673584,1390.341553,883.95874,514.464111,102.367188,50636.179688,1607.311523,56100.596436,0.24494,0.258145,0.249311,0.249615
1552_autoUniv-au7-1100,48.829102,477.731934,152.640625,390.727051,5.304199,991.405029,293.720947,2453.444092,0.36604,0.396631,0.356633,0.355155
1553_autoUniv-au7-700,26.839111,291.210205,185.979004,293.134033,2.974854,470.362305,195.098877,1542.020996,0.502467,0.514473,0.563122,0.542237
1554_autoUniv-au7-500,27.585938,196.378174,114.064941,229.430908,6.561035,703.518311,148.666016,1494.157227,0.441726,0.431197,0.370677,0.379515
463_backache,15.651123,134.828857,264.39502,185.388184,3.726074,1959.602295,296.751953,2953.666016,0.519215,0.520403,0.572424,0.576181
11_balance-scale,14.452881,149.398926,36.0979,267.085449,3.641846,51.272949,82.847656,658.72998,0.565078,0.566423,0.567708,0.570535
1460_banana,149.094482,10322.016602,1537.820068,6143.039551,43.699707,552.902588,8648.251953,27661.938232,0.885749,0.887448,0.836821,0.891509
1462_banknote-authentication,19.924072,286.014648,56.594971,426.559082,4.164063,66.265869,167.112061,1082.072021,0.984684,0.984735,0.97079,0.984033
